Version, Version Name, Name, LOCs, Churn, Age, Weighted Age, Number of Authors, Revisions, LOC Touched, LOC Added, Number of Fix, Buggy
1,refs/tags/release-4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/LedgerManager.java,130,130,0,0,1,1,130,130,1,false,
1,refs/tags/release-4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/LedgerManagerFactory.java,89,89,0,0,1,1,89,89,1,false,
1,refs/tags/release-4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/BookieClient.java,157,157,0,0,3,7,157,157,2,false,
1,refs/tags/release-4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/BookieProtocol.java,136,136,0,0,3,4,136,136,0,false,
1,refs/tags/release-4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/BookieServer.java,354,354,0,0,3,11,354,354,3,false,
1,refs/tags/release-4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/BookkeeperInternalCallbacks.java,114,114,0,0,3,3,114,114,1,false,
1,refs/tags/release-4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/NIOServerFactory.java,468,468,0,0,3,8,468,468,2,false,
1,refs/tags/release-4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/PerChannelBookieClient.java,507,507,0,0,3,9,507,507,3,false,
1,refs/tags/release-4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/ServerStats.java,121,121,0,0,1,1,121,121,0,false,
1,refs/tags/release-4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/streaming/LedgerInputStream.java,164,164,0,0,2,3,164,164,0,false,
1,refs/tags/release-4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/streaming/LedgerOutputStream.java,137,137,0,0,2,3,137,137,0,false,
1,refs/tags/release-4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/tools/BookKeeperTools.java,83,83,0,0,3,6,83,83,1,false,
1,refs/tags/release-4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/util/LocalBookKeeper.java,207,207,0,0,3,6,207,207,1,false,
1,refs/tags/release-4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/util/Main.java,47,47,0,0,3,3,47,47,1,false,
1,refs/tags/release-4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/util/MathUtils.java,30,30,0,0,2,2,30,30,0,false,
1,refs/tags/release-4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/util/OrderedSafeExecutor.java,83,83,0,0,2,2,83,83,0,false,
1,refs/tags/release-4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/util/SafeRunnable.java,32,32,0,0,2,3,32,32,0,false,
1,refs/tags/release-4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/util/StringUtils.java,59,59,0,0,3,3,59,59,1,false,
1,refs/tags/release-4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/util/ZkUtils.java,83,83,0,0,1,1,83,83,1,true,
1,refs/tags/release-4.0.0,hedwig-client/src/main/java/org/apache/hedwig/client/HedwigClient.java,64,64,0,0,1,1,64,64,0,false,
1,refs/tags/release-4.0.0,hedwig-client/src/main/java/org/apache/hedwig/client/api/Client.java,39,39,0,0,1,1,39,39,0,false,
1,refs/tags/release-4.0.0,hedwig-client/src/main/java/org/apache/hedwig/client/api/MessageHandler.java,44,44,0,0,2,3,44,44,0,false,
1,refs/tags/release-4.0.0,hedwig-client/src/main/java/org/apache/hedwig/client/api/Publisher.java,58,58,0,0,2,2,58,58,0,false,
1,refs/tags/release-4.0.0,hedwig-client/src/main/java/org/apache/hedwig/client/api/Subscriber.java,222,222,0,0,2,2,222,222,0,false,
1,refs/tags/release-4.0.0,hedwig-client/src/main/java/org/apache/hedwig/client/benchmark/BenchmarkPublisher.java,113,113,0,0,2,3,113,113,0,true,
1,refs/tags/release-4.0.0,hedwig-client/src/main/java/org/apache/hedwig/client/benchmark/BenchmarkSubscriber.java,115,115,0,0,2,4,115,115,0,true,
1,refs/tags/release-4.0.0,hedwig-client/src/main/java/org/apache/hedwig/client/benchmark/BenchmarkUtils.java,153,153,0,0,2,3,153,153,0,true,
